user_id,item_id,interaction_type,timestamp
15,17,view,2025-07-01T01:48:37.912Z
174,21,click,2025-07-01T01:47:50.833Z
205,1,view,2025-06-30T17:57:02.295Z
174,25,view,2025-07-01T01:40:17.357Z
462,3,click,2025-07-01T01:47:08.794Z
462,25,purchase,2025-07-01T01:41:13.464Z
347,12,view,2025-07-01T01:47:48.832Z
20,12,click,2025-07-01T01:47:38.822Z
100,30,click,2025-07-01T01:55:30.451Z
120,2,purchase,2025-07-01T01:55:26.446Z
2,20,view,2025-07-01T01:47:43.826Z
24,29,view,2025-07-01T01:54:45.387Z
344,19,view,2025-06-30T17:57:04.297Z
330,29,view,2025-07-01T01:55:13.433Z
247,26,click,2025-07-01T01:51:24.104Z
296,8,view,2025-07-01T01:48:58.937Z
279,25,purchase,2025-07-01T01:48:09.856Z
451,6,view,2025-06-30T17:57:13.307Z
425,3,view,2025-07-01T01:51:43.143Z
404,7,view,2025-07-01T01:49:52.000Z
445,25,purchase,2025-07-01T01:43:06.560Z
473,14,click,2025-07-01T01:47:41.824Z
417,26,purchase,2025-07-01T01:48:40.915Z
337,4,click,2025-07-01T01:40:53.446Z
332,19,view,2025-07-01T01:52:21.193Z
305,7,view,2025-06-30T17:57:25.327Z
27,9,view,2025-07-01T01:40:04.009Z
131,26,click,2025-07-01T01:40:00.815Z
447,4,view,2025-07-01T01:48:10.858Z
80,5,click,2025-07-01T01:43:56.606Z
97,27,purchase,2025-07-01T01:49:59.010Z
427,14,purchase,2025-07-01T01:46:05.732Z
107,26,view,2025-07-01T01:51:27.108Z
200,27,view,2025-07-01T01:40:02.988Z
197,8,view,2025-07-01T01:39:58.474Z
142,30,click,2025-07-01T01:45:53.719Z
462,24,click,2025-07-01T01:49:48.995Z
384,1,view,2025-07-01T01:45:40.706Z
171,11,view,2025-07-01T01:51:04.085Z
131,13,click,2025-07-01T01:45:08.677Z
460,11,purchase,2025-07-01T01:42:34.531Z
344,13,click,2025-07-01T01:52:24.195Z
287,15,purchase,2025-07-01T01:48:39.914Z
272,21,purchase,2025-07-01T01:47:40.823Z
126,18,click,2025-07-01T01:45:41.708Z
495,9,view,2025-07-01T01:55:09.429Z
458,1,purchase,2025-07-01T01:55:33.455Z
473,19,purchase,2025-07-01T01:46:06.733Z
364,18,click,2025-07-01T01:41:40.486Z
171,20,purchase,2025-07-01T02:35:15.766Z
211,26,purchase,2025-07-01T02:34:32.321Z
